tid,vid,weight,name,descr,co_orie,lib_court
"744","2017_1d_mono","744","CLIMAT SCOL., COMPÉTENCES SOC & CIVIQUES (1D)","CLIM.SCOL.","1P07","CLIM.SCOL."
"743","2017_1d_mono","743","CULTURE HUMANISTE (1ER DEGRE)","CULT.HUM1D","1P06","CULT.HUM1D"
"745","2017_1d_mono","745","ECOLE INCLUSIVE:BESOINS ÉDUCATIFS PARTICULIERS 1D","INCLUSIVE","1P08","INCLUSIVE"
"738","2017_1d_mono","738","ECOLE MATERNELLE","EC. MAT.","1P01","EC. MAT."
"750","2017_1d_mono","750","EDUCATION PRIORITAIRE","EDUC.PRIOR","1P13","EDUC.PRIOR"
"749","2017_1d_mono","749","FORMATION CONTINUE DES DIRECTEURS D'ECOLE","FC DIR.EC.","1P12","FC DIR.EC."
"748","2017_1d_mono","748","FORMATION DE FORMATEURS (1D)","FORM.FORM.","1P11","FORM.FORM."
"747","2017_1d_mono","747","FORMATION PROFESSIONNALISANTE OU QUALIFIANTE (1D)","FORM.PROF.","1P10","FORM.PROF."
"740","2017_1d_mono","740","LANGUES VIVANTES (1ER DEGRE)","LANG.VIV.","1P03","LANG.VIV."
"739","2017_1d_mono","739","MAITRISE DE LA LANGUE (1ER DEGRE)","MAITR.LANG","1P02","MAITR.LANG"
"741","2017_1d_mono","741","MATHS, CULTURE SCIENTIFIQUE, TECHNO (1ER DEGRE)","MATHS SC.","1P04","MATHS SC."
"746","2017_1d_mono","746","NOUVEAU CYCLE 3","NV CYCLE 3","1P09","NV CYCLE 3"
"742","2017_1d_mono","742","NUMÉRIQUE (1ER DEGRE)","NUMÉRIQ.1D","1P05","NUMÉRIQ.1D"
