tid,vid,weight,name,descr,co_orie,lib_court
"803","2017_2d_multi","803","ACCUEIL DES NOUVEAUX ENSEIGNANTS & CPE","NVX ENSCPE","2S10","NVX ENSCPE"
"804","2017_2d_multi","804","ALLEMAND (2ND DEGRE)","ALL. 2D","2S11","ALL. 2D"
"805","2017_2d_multi","805","ANGLAIS (2ND DEGRE)","ANGL. 2D","2S12","ANGL. 2D"
"806","2017_2d_multi","806","ARTS APPLIQUÉS EN LP","ARTS AP.LP","2S13","ARTS AP.LP"
"833","2017_2d_multi","833","ARTS ET CULTURE (2ND DEGRE)","ARTS CULT","2S43","ARTS CULT"
"807","2017_2d_multi","807","ARTS PLASTIQUES (2ND DEGRE)","ARTS PL 2D","2S15","ARTS PL 2D"
"834","2017_2d_multi","834","ASH (HANDICAP, 2ND DEGRE)","ASH 2D","2S44","ASH 2D"
"808","2017_2d_multi","808","AUTRES LANGUES (2ND DEGRE)","AUT LV 2D","2S16","AUT LV 2D"
"835","2017_2d_multi","835","COMPÉTENCES GÉNÉRALES - VIE SCOLAIRE","COMP.GÉNÉ.","2S45","COMP.GÉNÉ."
"809","2017_2d_multi","809","DOCUMENTATION (2ND DEGRE)","DOCUM. 2D","2S17","DOCUM. 2D"
"810","2017_2d_multi","810","ECONOMIE-GESTION EN LP","ECO GES LP","2S18","ECO GES LP"
"811","2017_2d_multi","811","ECONOMIE-GESTION EN LT","ECO GES LT","2S19","ECO GES LT"
"836","2017_2d_multi","836","EDUCATION AU DÉVELOPPEMENT DURABLE","ED.DEV.DUR","2S46","ED.DEV.DUR"
"837","2017_2d_multi","837","EDUCATION AUX MÉDIAS","ED.MÉDIAS","2S47","ED.MÉDIAS"
"812","2017_2d_multi","812","EDUCATION MUSICALE (2ND DEGRE)","ED.MUS.2D","2S20","ED.MUS.2D"
"813","2017_2d_multi","813","EDUCATION PHYSIQUE ET SPORTIVE (2ND DEGRE)","EPS 2D","2S21","EPS 2D"
"838","2017_2d_multi","838","EDUCATION PRIORITAIRE","ED.PRIOR.","2S48","ED.PRIOR."
"853","2017_2d_multi","853","EGALITÉ FILLES-GARÇONS","EGALITE FG","2S64","EGALITE FG"
"839","2017_2d_multi","839","ELÈVES À BESOINS ÉDUCATIFS PARTICULIERS","EL.ED.PART","2S49","EL.ED.PART"
"840","2017_2d_multi","840","ENSEIGNEMENTS ARTISTIQUES","ENS.ARTIS.","2S50","ENS.ARTIS."
"841","2017_2d_multi","841","ENSEIGNT. DE LA SANTÉ ET SECURITÉ AU TRAVAIL","ENS.SANSEC","2S51","ENS.SANSEC"
"814","2017_2d_multi","814","ESPAGNOL (2ND DEGRE)","ESP. 2D","2S22","ESP. 2D"
"842","2017_2d_multi","842","FORMATION DE FORMATEURS ET TUTEURS (2ND DEGRE)","FORM.FORM.","2S52","FORM.FORM."
"820","2017_2d_multi","820","FORMATIONS CERTIFIANTES ET DIPLÔMANTES (2D DEGRÉ)","CERTIFDIPL","2S28","CERTIFDIPL"
"844","2017_2d_multi","844","HISTOIRE DES ARTS","HIST. ARTS","2S54","HIST. ARTS"
"815","2017_2d_multi","815","HISTOIRE-GÉOGRAPHIE (2ND DEGRE)","HIS.GÉO 2D","2S23","HIS.GÉO 2D"
"854","2017_2d_multi","854","INNOVATION","INNOVATION","2S65","INNOVATION"
"816","2017_2d_multi","816","INTERLANGUES (2ND DEGRE)","INTERLV 2D","2S24","INTERLV 2D"
"817","2017_2d_multi","817","ITALIEN (2ND DEGRE)","ITALIEN 2D","2S25","ITALIEN 2D"
"819","2017_2d_multi","819","LETTRES / HISTOIRE GÉOGRAPHIE (2ND DEGRE)","LE.HI/G 2D","2S27","LE.HI/G 2D"
"821","2017_2d_multi","821","LETTRES / LANGUES VIVANTES EN LP","LET. LV LP","2S29","LET. LV LP"
"818","2017_2d_multi","818","LETTRES ET LANGUES ANCIENNES","LET LV ANC","2S26","LET LV ANC"
"822","2017_2d_multi","822","MATHÉMATIQUES (2ND DEGRE)","MATH. 2D","2S30","MATH. 2D"
"823","2017_2d_multi","823","MATHÉMATIQUES-SCIENCES EN LP","MAT-SC. LP","2S31","MAT-SC. LP"
"845","2017_2d_multi","845","MOBILITE DES PERSONNELS (2D DEGRÉ)","MOB. PERS","2S55","MOB. PERS"
"846","2017_2d_multi","846","NUMÉRIQUE PÉDAGOGIQUE (2ND DEGRE)","NUMERIQ.2D","2S57","NUMERIQ.2D"
"852","2017_2d_multi","852","NUMÉRIQUE-SYSTÈMES D'INFORMATION (2ND DEGRE)","NUMERIQ.SI","2S63","NUMERIQ.SI"
"847","2017_2d_multi","847","ORIENTATION","ORIENTAT.","2S58","ORIENTAT."
"848","2017_2d_multi","848","OUVERTURE EUROPÉENNE ET INTERNATIONALE","OUV EUR.IN","2S59","OUV EUR.IN"
"824","2017_2d_multi","824","PHILOSOPHIE","PHILO","2S32","PHILO"
"849","2017_2d_multi","849","RAEP","RAEP","2S60","RAEP"
"851","2017_2d_multi","851","REFONDATION DE LA SCOLARITE OBLIGATOIRE","SCOL.OB.2D","2S62","SCOL.OB.2D"
"850","2017_2d_multi","850","SANTÉ ET PRÉVENTION DES RISQUES AU TRAVAIL","SANTÉ PRÉV","2S61","SANTÉ PRÉV"
"825","2017_2d_multi","825","SBSSA (LP)","SBSSA (LP)","2S33","SBSSA (LP)"
"826","2017_2d_multi","826","SCIENCES DE LA VIE ET DE LA TERRE","SVT","2S34","SVT"
"827","2017_2d_multi","827","SCIENCES ÉCONOMIQUES ET SOCIALES","SC.ECO/SOC","2S35","SC.ECO/SOC"
"828","2017_2d_multi","828","SCIENCES ET TECHNIQUES INDUSTRIELLES EN LP","SC.T.IN.LP","2S36","SC.T.IN.LP"
"829","2017_2d_multi","829","SCIENCES ET TECHNIQUES INDUSTRIELLES EN LT","SC.T.IN.LT","2S37","SC.T.IN.LT"
"830","2017_2d_multi","830","SCIENCES PHYSIQUES ET CHIMIQUES","SC.PH./CH.","2S38","SC.PH./CH."
"831","2017_2d_multi","831","SMS, BIOTECHNOLOGIES, BIOCHIMIE (LT)","SMS BIO.","2S39","SMS BIO."
"832","2017_2d_multi","832","TECHNOLOGIE AU COLLÈGE","TECHNO CLG","2S40","TECHNO CLG"
"843","2017_2d_multi","843","VALEURS DE LA RÉPUBLIQUE ET ENS. MORAL ET CIVIQUE","MORAL.CIV.","2S53","MORAL.CIV."
